"lat","lon","alt","vel"
-15.822205,-48.059420,1203.100000,13.268000
-15.822253,-48.059402,1202.900000,10.286000
-15.822287,-48.059391,1202.900000,6.941000
-15.822314,-48.059381,1203.100000,5.448000
-15.822340,-48.059375,1202.300000,5.217000
-15.822371,-48.059365,1202.100000,7.140000
-15.822418,-48.059349,1202.200000,10.901000
-15.822473,-48.059331,1202.100000,11.732000
-15.822523,-48.059311,1202.100000,10.860000
-15.822563,-48.059296,1202.000000,8.116000
-15.822588,-48.059287,1201.900000,4.637000
-15.822602,-48.059284,1202.000000,2.642000
-15.822619,-48.059284,1202.200000,3.532000
-15.822635,-48.059288,1202.400000,3.250000
-15.822653,-48.059300,1202.400000,4.238000
-15.822671,-48.059332,1202.300000,7.740000
-15.822685,-48.059373,1201.900000,8.838000
-15.822702,-48.059422,1201.400000,10.864000
-15.822726,-48.059478,1200.900000,12.417000
-15.822750,-48.059547,1200.900000,15.389000
-15.822776,-48.059621,1200.000000,15.658000
-15.822800,-48.059689,1200.000000,14.740000
-15.822826,-48.059756,1200.200000,14.122000
-15.822849,-48.059817,1200.200000,12.879000
-15.822864,-48.059863,1199.600000,8.515000
-15.822868,-48.059900,1198.900000,7.234000
-15.822855,-48.059931,1197.400000,6.664000
-15.822823,-48.059952,1197.000000,8.142000
-15.822781,-48.059974,1196.700000,10.527000
-15.822734,-48.059991,1197.700000,10.103000
-15.822688,-48.060004,1197.700000,9.401000
-15.822652,-48.060021,1198.100000,8.182000
-15.822618,-48.060039,1198.100000,8.059000
-15.822576,-48.060057,1198.200000,10.110000
-15.822525,-48.060078,1198.600000,11.609000
-15.822471,-48.060100,1198.900000,12.362000
-15.822412,-48.060121,1199.200000,13.396000
-15.822357,-48.060144,1199.600000,12.484000
-15.822297,-48.060166,1199.500000,13.802000
-15.822238,-48.060188,1199.500000,13.120000
-15.822183,-48.060207,1199.400000,12.232000
-15.822132,-48.060225,1199.500000,11.587000
-15.822084,-48.060243,1199.500000,10.327000
-15.822049,-48.060256,1199.600000,7.375000
-15.822023,-48.060261,1200.200000,5.043000
-15.821998,-48.060269,1200.700000,5.545000
-15.821963,-48.060285,1200.800000,8.491000
-15.821921,-48.060301,1201.100000,9.825000
-15.821872,-48.060317,1200.900000,11.522000
-15.821822,-48.060333,1200.700000,11.173000
-15.821769,-48.060347,1201.200000,12.545000
-15.821711,-48.060364,1201.000000,13.067000
-15.821646,-48.060388,1201.000000,14.523000
-15.821579,-48.060415,1200.900000,15.433000
-15.821513,-48.060441,1201.300000,14.907000
-15.821450,-48.060466,1201.000000,14.144000
-15.821391,-48.060486,1201.100000,13.245000
-15.821335,-48.060503,1201.600000,12.373000
-15.821280,-48.060519,1202.600000,11.734000
-15.821227,-48.060537,1201.900000,11.829000
-15.821175,-48.060553,1202.000000,10.951000
-15.821128,-48.060570,1201.800000,10.377000
-15.821078,-48.060587,1201.600000,11.054000
-15.821028,-48.060604,1201.300000,10.893000
-15.820978,-48.060620,1201.500000,10.819000
-15.820926,-48.060637,1201.300000,11.702000
-15.820870,-48.060656,1201.200000,13.010000
-15.820813,-48.060678,1200.800000,13.075000
-15.820754,-48.060695,1201.000000,13.137000
-15.820691,-48.060710,1201.300000,14.567000
-15.820621,-48.060728,1201.500000,15.706000
-15.820555,-48.060747,1201.500000,14.489000
-15.820492,-48.060769,1201.400000,14.428000
-15.820432,-48.060792,1202.000000,13.331000
-15.820376,-48.060814,1201.700000,12.628000
-15.820324,-48.060836,1201.900000,11.919000
-15.820275,-48.060857,1201.600000,11.051000
-15.820227,-48.060872,1201.900000,10.883000
-15.820178,-48.060886,1201.500000,11.288000
-15.820123,-48.060898,1201.400000,12.509000
-15.820062,-48.060914,1201.100000,13.948000
-15.820002,-48.060934,1201.100000,13.270000
-15.819952,-48.060952,1201.300000,10.479000
-15.819918,-48.060966,1201.300000,6.855000
-15.819892,-48.060981,1201.600000,6.074000
-15.819860,-48.060996,1202.100000,8.001000
-15.819825,-48.061013,1202.900000,8.456000
-15.819787,-48.061027,1202.900000,8.398000
-15.819753,-48.061037,1202.800000,7.696000
-15.819720,-48.061048,1203.000000,7.373000
-15.819690,-48.061055,1203.200000,6.237000
-15.819664,-48.061058,1203.300000,5.306000
-15.819657,-48.061057,1204.400000,1.630000
-15.819652,-48.061056,1205.300000,0.693000
-15.819652,-48.061057,1206.400000,0.185000
-15.819654,-48.061056,1207.100000,0.151000
-15.819654,-48.061060,1206.500000,0.185000
-15.819654,-48.061061,1206.500000,0.151000
-15.819653,-48.061062,1206.500000,0.098000
-15.819649,-48.061064,1206.400000,0.940000
-15.819647,-48.061065,1206.500000,0.066000
-15.819642,-48.061064,1206.200000,1.028000
-15.819621,-48.061060,1207.200000,4.349000
-15.819594,-48.061043,1208.000000,6.912000
-15.819575,-48.061010,1208.200000,8.483000
-15.819554,-48.060959,1208.800000,12.028000
-15.819530,-48.060890,1209.300000,15.676000
-15.819508,-48.060808,1209.400000,18.413000
-15.819479,-48.060717,1209.400000,19.716000
-15.819450,-48.060628,1209.500000,19.241000
-15.819425,-48.060550,1210.000000,16.204000
-15.819403,-48.060491,1212.200000,11.745000
-15.819377,-48.060449,1211.700000,9.981000
-15.819335,-48.060424,1212.100000,10.493000
-15.819285,-48.060424,1211.900000,11.160000
-15.819238,-48.060435,1211.600000,10.186000
-15.819201,-48.060448,1211.200000,8.273000
-15.819173,-48.060458,1211.300000,5.265000
-15.819153,-48.060467,1211.000000,4.464000
-15.819129,-48.060476,1210.800000,5.908000
-15.819092,-48.060488,1210.000000,9.232000
-15.819043,-48.060504,1210.000000,11.671000
-15.818986,-48.060523,1209.500000,13.622000
-15.818923,-48.060545,1210.000000,14.410000
-15.818859,-48.060568,1210.000000,14.343000
-15.818790,-48.060589,1209.900000,15.653000
-15.818720,-48.060608,1209.600000,15.861000
-15.818654,-48.060627,1210.000000,14.293000
-15.818591,-48.060647,1209.900000,13.606000
-15.818533,-48.060667,1210.000000,12.881000
-15.818479,-48.060688,1210.000000,12.360000
-15.818430,-48.060709,1210.200000,11.026000
-15.818384,-48.060726,1210.500000,10.162000
-15.818342,-48.060738,1211.100000,9.218000
-15.818308,-48.060750,1209.800000,7.698000
-15.818284,-48.060759,1209.200000,4.865000
-15.818275,-48.060756,1209.000000,1.615000
-15.818276,-48.060752,1209.300000,0.261000
-15.818273,-48.060746,1209.600000,0.477000
-15.818266,-48.060726,1211.200000,1.003000
-15.818263,-48.060723,1211.300000,0.633000
-15.818263,-48.060722,1211.200000,0.424000
-15.818263,-48.060719,1211.900000,0.829000
-15.818261,-48.060712,1212.300000,1.343000
-15.818264,-48.060705,1211.500000,1.220000
-15.818264,-48.060701,1212.000000,0.818000
-15.818267,-48.060696,1212.300000,1.661000
-15.818273,-48.060693,1212.600000,1.645000
-15.818275,-48.060691,1213.000000,0.420000
-15.818274,-48.060691,1213.500000,0.348000
-15.818280,-48.060700,1213.800000,2.509000
-15.818281,-48.060699,1213.000000,1.196000
